SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+89s,2.048,4,10,protocol,7.5,140,507,3.62143,100,97,0.97,0.9625,0.655303,0.403263,0.235695,0.197941,0.186022,0.186022,0.186022,0.186022,0.43897,10
+90s,2.048,4,10,protocol,7.5,140,530,3.78571,86,86,1,0.9375,0.698582,0.42094,0.266216,0.228009,0.209574,0.209574,0.209574,0.209574,0.438249,10
+91s,2.048,4,10,protocol,7.5,140,532,3.8,74,74,1,0.950276,0.734899,0.401099,0.293566,0.254651,0.224846,0.224846,0.224846,0.224846,0.442193,10
+92s,2.048,4,10,protocol,7.5,140,560,4,58,58,1,0.96729,0.795455,0.402961,0.344101,0.284884,0.243539,0.243539,0.243539,0.243539,0.440814,10
+93s,2.048,4,10,protocol,7.5,140,555,3.96429,60,59,0.983333,0.9125,0.777439,0.422185,0.367435,0.296512,0.251479,0.251479,0.251479,0.251479,0.439488,10
+94s,2.048,4,10,protocol,7.5,140,578,4.12857,60,60,1,0.932806,0.759887,0.448333,0.400894,0.309195,0.263725,0.263725,0.263725,0.263725,0.438312,10
+95s,2.048,4,10,protocol,7.5,150,609,4.06,86,84,0.976744,0.914634,0.67381,0.445669,0.401989,0.298523,0.262037,0.262037,0.262037,0.262037,0.437454,10
+96s,2.048,4,10,protocol,7.5,150,629,4.19333,110,104,0.945455,0.910714,0.61087,0.439063,0.390278,0.295789,0.252244,0.252244,0.252244,0.252244,0.43631,10
+97s,2.048,4,10,protocol,7.5,150,697,4.64667,132,129,0.977273,0.958333,0.714583,0.535937,0.475069,0.352881,0.300877,0.300877,0.300877,0.300877,0.436803,10
+98s,2.048,4,10,protocol,7.5,150,736,4.90667,124,123,0.991935,0.975862,0.78481,0.586751,0.493369,0.373494,0.322917,0.322917,0.322917,0.322917,0.435851,10
+99s,0.512,1,10,protocol,7.5,150,760,5.06667,135,128,0.948148,0.925,0.848018,0.620968,0.48125,0.377451,0.326271,0.326271,0.326271,0.326271,0.435387,10
+100s,0,0,10,protocol,7.5,150,759,5.06,100,100,1,0.980663,0.813808,0.611635,0.468675,0.374038,0.333048,0.333048,0.333048,0.333048,0.435029,10
+101s,0,0,10,protocol,7.5,150,725,4.83333,140,135,0.964286,0.934211,0.783333,0.573171,0.421525,0.356736,0.325823,0.325823,0.325823,0.325823,0.434708,10
