SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+25s,8.192,16,10,protocol,7.5,50,203,4.06,40,40,1,1,0.512821,0.333333,0.333333,0.285714,0.25,0.25,0.25,0.25,0.496114,10
+26s,8.192,16,10,protocol,7.5,50,214,4.28,40,40,1,1,0.575,0.383333,0.383333,0.328571,0.2875,0.2875,0.2875,0.2875,0.493746,10
+27s,8.192,16,10,protocol,7.5,50,246,4.92,40,39,0.975,0.978261,0.703704,0.633333,0.633333,0.542857,0.475,0.475,0.475,0.475,0.491569,10
+28s,8.192,16,10,protocol,7.5,60,292,4.86667,40,40,1,1,0.716667,0.716667,0.716667,0.477778,0.40566,0.40566,0.40566,0.40566,0.488844,10
+29s,8.192,16,10,protocol,7.5,60,306,5.1,40,40,1,1,0.966667,0.966667,0.966667,0.644444,0.527273,0.527273,0.527273,0.527273,0.485958,10
+30s,6.656,13,10,protocol,7.5,60,263,4.38333,54,54,1,1,1,1,1,0.652174,0.521739,0.521739,0.521739,0.521739,0.489418,10
+31s,6.144,12,10,protocol,7.5,60,230,3.83333,76,76,1,1,1,1,1,0.6,0.487805,0.487805,0.487805,0.487805,0.491181,10
+32s,6.144,12,10,protocol,7.5,60,230,3.83333,100,100,1,1,1,1,1,0.6,0.451128,0.451128,0.451128,0.451128,0.490769,10
+33s,6.144,12,10,protocol,7.5,70,320,4.57143,118,118,1,1,1,1,1,0.526316,0.428571,0.428571,0.428571,0.428571,0.487946,10
+34s,6.144,12,10,protocol,7.5,70,320,4.57143,102,102,1,1,1,1,0.967742,0.483871,0.428571,0.428571,0.428571,0.428571,0.487027,10
+35s,6.144,12,10,protocol,7.5,70,307,4.38571,76,76,1,1,1,1,0.779221,0.491803,0.428571,0.428571,0.428571,0.428571,0.484883,10
+36s,6.144,12,10,protocol,7.5,70,300,4.28571,56,56,1,1,1,1,0.659341,0.46875,0.428571,0.428571,0.428571,0.428571,0.483499,10
+37s,6.144,12,10,protocol,7.5,70,294,4.2,40,40,1,1,1,0.857143,0.6,0.461538,0.428571,0.428571,0.428571,0.428571,0.480481,10
+38s,6.144,12,10,protocol,7.5,70,267,3.81429,40,40,1,1,0.891667,0.677215,0.535,0.411538,0.382143,0.382143,0.382143,0.382143,0.479018,10
+39s,6.144,12,10,protocol,7.5,70,249,3.55714,40,40,1,0.983333,0.689394,0.56875,0.429245,0.376033,0.325,0.325,0.325,0.325,0.47649,10
+40s,6.144,12,10,protocol,7.5,70,224,3.2,40,39,0.975,0.975,0.443038,0.4375,0.299145,0.291667,0.25,0.25,0.25,0.25,0.474576,10
+41s,6.144,12,10,protocol,7.5,70,227,3.24286,40,40,1,1,0.478873,0.425,0.283333,0.283333,0.242857,0.242857,0.242857,0.242857,0.472165,10
+42s,6.144,12,10,protocol,7.5,70,239,3.41429,40,39,0.975,0.977273,0.606061,0.5,0.333333,0.327869,0.285714,0.285714,0.285714,0.285714,0.471805,10
+43s,6.144,12,10,protocol,7.5,80,325,4.0625,56,56,1,0.965116,0.795082,0.521505,0.373077,0.346429,0.323333,0.323333,0.323333,0.323333,0.469685,10
+44s,6.144,12,10,protocol,7.5,80,324,4.05,40,40,1,0.98,0.816667,0.544444,0.376923,0.35,0.30625,0.30625,0.30625,0.30625,0.468938,10
+45s,6.144,12,10,protocol,7.5,80,329,4.1125,36,36,1,0.99,0.951923,0.592814,0.383721,0.353571,0.280453,0.280453,0.280453,0.280453,0.467788,10
+46s,6.144,12,10,protocol,7.5,80,325,4.0625,20,20,1,1,0.99,0.626582,0.438053,0.353571,0.275,0.275,0.275,0.275,0.467291,10
+47s,6.144,12,10,protocol,7.5,80,313,3.9125,28,28,1,1,0.96,0.607595,0.436364,0.333333,0.266667,0.266667,0.266667,0.266667,0.464937,10
+48s,6.144,12,10,protocol,7.5,80,305,3.8125,40,38,0.95,0.95,0.84,0.6,0.451613,0.26087,0.219895,0.219895,0.219895,0.219895,0.462702,10
+49s,6.144,12,10,protocol,7.5,80,309,3.8625,40,40,1,1,0.8,0.571429,0.444444,0.25,0.2,0.2,0.2,0.2,0.460781,10
+50s,6.144,12,10,protocol,7.5,80,305,3.8125,40,40,1,0.985714,0.79,0.564286,0.434066,0.251592,0.1975,0.1975,0.1975,0.1975,0.458754,10
+51s,6.144,12,10,protocol,7.5,80,292,3.65,40,40,1,1,0.75,0.580645,0.378947,0.246575,0.18,0.18,0.18,0.18,0.457338,10
+52s,4.096,8,10,protocol,7.5,80,248,3.1,40,40,1,1,0.75,0.491803,0.277778,0.208333,0.157895,0.157895,0.157895,0.157895,0.457701,10
+53s,4.096,8,10,protocol,7.5,80,232,2.9,24,22,0.916667,0.966667,0.783784,0.414286,0.27619,0.204225,0.15847,0.15847,0.15847,0.15847,0.457592,10
+54s,4.096,8,10,protocol,7.5,80,250,3.125,20,20,1,1,1,0.491803,0.3,0.214286,0.170455,0.170455,0.170455,0.170455,0.456291,10
+55s,4.096,8,10,protocol,7.5,90,258,2.86667,20,20,1,0.983333,0.556604,0.307292,0.21223,0.163889,0.139151,0.139151,0.139151,0.139151,0.455714,10
+56s,4.096,8,10,protocol,7.5,90,263,2.92222,20,20,1,1,0.541667,0.300926,0.249042,0.180556,0.154762,0.154762,0.154762,0.154762,0.454545,10
+57s,4.096,8,10,protocol,7.5,90,283,3.14444,20,20,1,1,0.629032,0.386139,0.280576,0.216667,0.19403,0.19403,0.19403,0.19403,0.455599,10
+58s,4.096,8,10,protocol,7.5,90,274,3.04444,20,20,1,0.95,0.608333,0.405556,0.268382,0.202778,0.192105,0.192105,0.192105,0.192105,0.453757,10
+59s,4.096,8,10,protocol,7.5,90,284,3.15556,20,20,1,1,0.544118,0.411111,0.284615,0.228395,0.194737,0.194737,0.194737,0.194737,0.452718,10
+60s,4.096,8,10,protocol,7.5,90,296,3.28889,20,20,1,1,0.512658,0.409091,0.316406,0.27,0.213158,0.213158,0.213158,0.213158,0.450936,10
+61s,4.096,8,10,protocol,7.5,90,319,3.54444,20,20,1,0.942308,0.6625,0.481818,0.441667,0.360544,0.296089,0.296089,0.296089,0.296089,0.449221,10
+62s,4.096,8,10,protocol,7.5,90,328,3.64444,20,20,1,0.928571,0.7125,0.57,0.475,0.407143,0.335294,0.335294,0.335294,0.335294,0.448082,10
+63s,4.096,8,10,protocol,7.5,90,326,3.62222,20,20,1,0.988636,0.58046,0.505,0.420833,0.341216,0.295322,0.295322,0.295322,0.295322,0.447634,10
+64s,4.096,8,10,protocol,7.5,130,684,5.26154,66,66,1,0.971963,0.703911,0.63,0.545455,0.466667,0.381818,0.381818,0.381818,0.381818,0.445108,10
+65s,4.096,8,10,protocol,7.5,130,740,5.69231,88,87,0.988636,0.935606,0.763006,0.66,0.55,0.488889,0.4125,0.4125,0.4125,0.4125,0.443492,10
+66s,4.096,8,10,protocol,7.5,130,762,5.86154,102,93,0.911765,0.908451,0.811798,0.7225,0.602083,0.514235,0.43921,0.43921,0.43921,0.43921,0.441994,10
+67s,4.096,8,10,protocol,7.5,130,864,6.64615,152,152,1,1,0.994118,0.808612,0.704167,0.563333,0.512121,0.512121,0.512121,0.512121,0.44052,10
+68s,4.096,8,10,protocol,7.5,130,844,6.49231,196,190,0.969388,0.976471,0.976471,0.761468,0.683128,0.525316,0.50303,0.50303,0.50303,0.50303,0.438491,10
