SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+162s,4.096,8,10,protocol,7.5,230,0,0,280,0,0,0,0,0,0,0,0,0,0,0,5511.61
+163s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,5491.07
+164s,4.096,8,10,protocol,7.5,230,0,0,292,0,0,0,0,0,0,0,0,0,0,0,5471.88
+165s,4.096,8,10,protocol,7.5,230,0,0,270,0,0,0,0,0,0,0,0,0,0,0,5453.35
+166s,4.096,8,10,protocol,7.5,230,0,0,276,0,0,0,0,0,0,0,0,0,0,0,5368.53
+167s,4.096,8,10,protocol,7.5,230,0,0,300,0,0,0,0,0,0,0,0,0,0,0,5326.91
+168s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,5293.01
+169s,4.096,8,10,protocol,7.5,240,0,0,400,0,0,0,0,0,0,0,0,0,0,0,5270.3
+170s,4.096,8,10,protocol,7.5,240,0,0,414,0,0,0,0,0,0,0,0,0,0,0,5243.53
+171s,4.096,8,10,protocol,7.5,240,0,0,444,0,0,0,0,0,0,0,0,0,0,0,5214.34
+172s,4.096,8,10,protocol,7.5,240,0,0,496,0,0,0,0,0,0,0,0,0,0,0,5196.52
+173s,4.096,8,10,protocol,7.5,240,0,0,518,0,0,0,0,0,0,0,0,0,0,0,5179.2
+174s,4.096,8,10,protocol,7.5,240,0,0,508,0,0,0,0,0,0,0,0,0,0,0,5154.83
+175s,4.096,8,10,protocol,7.5,240,0,0,468,0,0,0,0,0,0,0,0,0,0,0,5138.38
+176s,4.096,8,10,protocol,7.5,240,0,0,422,0,0,0,0,0,0,0,0,0,0,0,5122.03
+177s,4.096,8,10,protocol,7.5,240,0,0,374,0,0,0,0,0,0,0,0,0,0,0,5097.05
+178s,4.096,8,10,protocol,7.5,240,0,0,346,0,0,0,0,0,0,0,0,0,0,0,5072.84
+179s,4.096,8,10,protocol,7.5,240,0,0,316,0,0,0,0,0,0,0,0,0,0,0,5053.59
+180s,4.096,8,10,protocol,7.5,240,0,0,294,0,0,0,0,0,0,0,0,0,0,0,5034.8
+181s,4.096,8,10,protocol,7.5,240,0,0,314,0,0,0,0,0,0,0,0,0,0,0,5009.72
+182s,4.096,8,10,protocol,7.5,240,0,0,340,0,0,0,0,0,0,0,0,0,0,0,4991.36
+183s,4.096,8,10,protocol,7.5,240,0,0,356,0,0,0,0,0,0,0,0,0,0,0,4975.38
+184s,4.096,8,10,protocol,7.5,240,0,0,428,0,0,0,0,0,0,0,0,0,0,0,4958.26
+185s,4.096,8,10,protocol,7.5,240,0,0,440,0,0,0,0,0,0,0,0,0,0,0,4943.03
+186s,4.096,8,10,protocol,7.5,240,0,0,456,0,0,0,0,0,0,0,0,0,0,0,4927.89
+187s,4.096,8,10,protocol,7.5,250,0,0,508,0,0,0,0,0,0,0,0,0,0,0,4910.22
+188s,4.096,8,10,protocol,7.5,280,0,0,580,0,0,0,0,0,0,0,0,0,0,0,4878.02
+189s,4.096,8,10,protocol,7.5,280,0,0,578,0,0,0,0,0,0,0,0,0,0,0,4858.47
+190s,4.096,8,10,protocol,7.5,280,0,0,584,0,0,0,0,0,0,0,0,0,0,0,4838.85
+191s,4.096,8,10,protocol,7.5,280,0,0,516,0,0,0,0,0,0,0,0,0,0,0,4816.69
+192s,4.096,8,10,protocol,7.5,280,0,0,500,0,0,0,0,0,0,0,0,0,0,0,4800.16
+193s,4.096,8,10,protocol,7.5,280,0,0,476,0,0,0,0,0,0,0,0,0,0,0,4784.95
+194s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,4768.72
+195s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,4754.62
+196s,4.096,8,10,protocol,7.5,280,0,0,440,0,0,0,0,0,0,0,0,0,0,0,4738.88
+197s,4.096,8,10,protocol,7.5,280,0,0,448,0,0,0,0,0,0,0,0,0,0,0,4724.56
+198s,4.096,8,10,protocol,7.5,280,0,0,472,0,0,0,0,0,0,0,0,0,0,0,4694.12
+199s,4.096,8,10,protocol,7.5,280,0,0,484,0,0,0,0,0,0,0,0,0,0,0,4676.77
+200s,4.096,8,10,protocol,7.5,280,0,0,530,0,0,0,0,0,0,0,0,0,0,0,4657.89
+201s,4.096,8,10,protocol,7.5,280,0,0,568,0,0,0,0,0,0,0,0,0,0,0,4637.75
+202s,4.096,8,10,protocol,7.5,280,0,0,624,0,0,0,0,0,0,0,0,0,0,0,4616.91
+203s,4.096,8,10,protocol,7.5,280,0,0,640,0,0,0,0,0,0,0,0,0,0,0,4603.21
+204s,4.096,8,10,protocol,7.5,280,0,0,642,0,0,0,0,0,0,0,0,0,0,0,4588.93
+205s,4.096,8,10,protocol,7.5,280,0,0,682,0,0,0,0,0,0,0,0,0,0,0,4568.94
+206s,4.096,8,10,protocol,7.5,280,0,0,681,0,0,0,0,0,0,0,0,0,0,0,4555.99
+207s,4.096,8,10,protocol,7.5,280,0,0,672,0,0,0,0,0,0,0,0,0,0,0,4538.68
+208s,4.096,8,10,protocol,7.5,280,0,0,632,0,0,0,0,0,0,0,0,0,0,0,4525.9
+209s,4.096,8,10,protocol,7.5,290,0,0,646,0,0,0,0,0,0,0,0,0,0,0,4508.82
+210s,4.096,8,10,protocol,7.5,290,0,0,626,0,0,0,0,0,0,0,0,0,0,0,4492.21
+211s,4.096,8,10,protocol,7.5,290,0,0,640,0,0,0,0,0,0,0,0,0,0,0,4467.39
+212s,4.608,9,10,protocol,7.5,290,0,0,632,0,0,0,0,0,0,0,0,0,0,0,4442.61
+213s,15.36,30,10,protocol,7.5,290,0,0,654,0,0,0,0,0,0,0,0,0,0,0,4395.38
+214s,6.144,12,10,protocol,7.5,290,0,0,624,0,0,0,0,0,0,0,0,0,0,0,4376.06
+215s,6.144,12,10,protocol,7.5,290,0,0,618,0,0,0,0,0,0,0,0,0,0,0,4357.95
+216s,6.144,12,10,protocol,7.5,300,0,0,656,0,0,0,0,0,0,0,0,0,0,0,4336.49
+217s,6.144,12,10,protocol,7.5,300,0,0,660,0,0,0,0,0,0,0,0,0,0,0,4318.7
+218s,6.144,12,10,protocol,7.5,300,0,0,650,0,0,0,0,0,0,0,0,0,0,0,4301.06
+219s,6.144,12,10,protocol,7.5,300,0,0,628,0,0,0,0,0,0,0,0,0,0,0,4276.87
+220s,6.144,12,10,protocol,7.5,310,0,0,600,0,0,0,0,0,0,0,0,0,0,0,4251.95
+221s,6.144,12,10,protocol,7.5,310,0,0,556,0,0,0,0,0,0,0,0,0,0,0,4225.06
+222s,6.144,12,10,protocol,7.5,310,0,0,554,0,0,0,0,0,0,0,0,0,0,0,4202.82
+223s,6.144,12,10,protocol,7.5,310,0,0,576,0,0,0,0,0,0,0,0,0,0,0,4179.27
+224s,6.144,12,10,protocol,7.5,310,0,0,560,0,0,0,0,0,0,0,0,0,0,0,4160.71
+225s,6.144,12,10,protocol,7.5,310,0,0,560,0,0,0,0,0,0,0,0,0,0,0,4144.62
+226s,6.144,12,10,protocol,7.5,310,0,0,608,0,0,0,0,0,0,0,0,0,0,0,4127.75
+227s,6.144,12,10,protocol,7.5,310,0,0,576,0,0,0,0,0,0,0,0,0,0,0,4111.62
+228s,6.144,12,10,protocol,7.5,310,0,0,578,0,0,0,0,0,0,0,0,0,0,0,4095.91
+229s,6.144,12,10,protocol,7.5,310,0,0,580,0,0,0,0,0,0,0,0,0,0,0,4073.95
+230s,6.144,12,10,protocol,7.5,320,0,0,564,0,0,0,0,0,0,0,0,0,0,0,4051.11
+231s,6.144,12,10,protocol,7.5,320,0,0,580,0,0,0,0,0,0,0,0,0,0,0,4031.03
+232s,6.144,12,10,protocol,7.5,320,0,0,580,0,0,0,0,0,0,0,0,0,0,0,4009.77
+233s,6.144,12,10,protocol,7.5,320,0,0,572,0,0,0,0,0,0,0,0,0,0,0,3992.26
+234s,6.144,12,10,protocol,7.5,320,0,0,589,0,0,0,0,0,0,0,0,0,0,0,3973.91
+235s,6.144,12,10,protocol,7.5,320,0,0,560,0,0,0,0,0,0,0,0,0,0,0,3958.95
