SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
+110s,0,0,10,protocol,7.5,160,745,4.65625,160,151,0.94375,0.849711,0.511204,0.369433,0.336096,0.262968,0.25,0.25,0.25,0.25,0.406845
+111s,0,0,10,protocol,7.5,160,865,5.40625,156,152,0.974359,0.90411,0.564343,0.421,0.376565,0.303314,0.288356,0.288356,0.288356,0.288356,0.410789
+112s,0,0,10,protocol,7.5,160,795,4.96875,142,138,0.971831,0.895238,0.571618,0.43014,0.36402,0.312319,0.295003,0.295003,0.295003,0.295003,0.41448
+113s,2.048,4,10,protocol,7.5,160,845,5.28125,186,184,0.989247,0.891705,0.605191,0.442116,0.368552,0.321014,0.301771,0.301771,0.301771,0.301771,0.415124
+114s,2.048,4,10,protocol,7.5,160,900,5.625,244,235,0.963115,0.938119,0.684066,0.506098,0.401613,0.359307,0.341096,0.341096,0.341096,0.341096,0.413331
+115s,2.048,4,10,protocol,7.5,160,935,5.84375,314,314,1,0.97619,0.754464,0.497059,0.393634,0.362143,0.350622,0.350622,0.350622,0.350622,0.412772
+116s,2.048,4,10,protocol,7.5,160,961,6.00625,342,342,1,0.991903,0.842949,0.521825,0.399696,0.370945,0.364771,0.364771,0.364771,0.364771,0.411372
+117s,2.048,4,10,protocol,7.5,160,957,5.98125,358,346,0.96648,0.972,0.860927,0.521042,0.399386,0.366197,0.360111,0.360111,0.360111,0.360111,0.410745
+118s,2.048,4,10,protocol,7.5,160,971,6.06875,390,390,1,0.998,0.822188,0.560041,0.420684,0.380986,0.375694,0.375694,0.375694,0.375694,0.409054
+119s,2.048,4,10,protocol,7.5,160,997,6.23125,404,394,0.975248,0.963415,0.793769,0.575269,0.416019,0.376761,0.371528,0.371528,0.371528,0.371528,0.408389
+120s,2.048,4,10,protocol,7.5,160,1030,6.4375,412,400,0.970874,0.954545,0.875,0.646739,0.468873,0.421388,0.408093,0.408093,0.408093,0.408093,0.406741
+121s,2.048,4,10,protocol,7.5,160,1106,6.9125,372,372,1,0.978799,0.953172,0.707399,0.548696,0.444366,0.429544,0.429544,0.429544,0.429544,0.406371
+122s,2.048,4,10,protocol,7.5,160,1063,6.64375,348,348,1,0.989865,0.912722,0.739808,0.555856,0.436351,0.416892,0.416892,0.416892,0.416892,0.404779
+123s,2.048,4,10,protocol,7.5,160,1029,6.43125,318,318,1,0.996667,0.912463,0.774559,0.559091,0.440544,0.418367,0.418367,0.418367,0.418367,0.404199
+124s,2.048,4,10,protocol,7.5,160,1049,6.55625,321,319,0.993769,0.978571,0.89497,0.815364,0.57729,0.46467,0.416667,0.416667,0.416667,0.416667,0.402661
+125s,2.048,4,10,protocol,7.5,160,995,6.21875,288,280,0.972222,0.917293,0.831325,0.732095,0.553106,0.444087,0.38069,0.38069,0.38069,0.38069,0.402103
+126s,2.048,4,10,protocol,7.5,190,1198,6.30526,320,320,1,0.94974,0.786232,0.662933,0.516667,0.444065,0.356127,0.356127,0.356127,0.356127,0.40065
+127s,2.048,4,10,protocol,7.5,200,1253,6.265,312,297,0.951923,0.928437,0.821343,0.70911,0.53937,0.460969,0.369471,0.369471,0.369471,0.369471,0.399761
+128s,2.048,4,10,protocol,7.5,200,1165,5.825,260,252,0.969231,0.911654,0.728814,0.624481,0.477778,0.400266,0.33168,0.33168,0.33168,0.33168,0.397993
+129s,2.048,4,10,protocol,7.5,200,1157,5.785,222,222,1,0.972763,0.735661,0.62766,0.468254,0.391766,0.327051,0.327051,0.327051,0.327051,0.397165
+130s,0.512,1,10,protocol,7.5,200,1011,5.055,200,191,0.955,0.880859,0.630376,0.492647,0.37701,0.306937,0.263483,0.263483,0.263483,0.263483,0.395743
+131s,0,0,10,protocol,7.5,200,1136,5.68,192,192,1,0.934874,0.74344,0.559211,0.415309,0.326087,0.292096,0.292096,0.292096,0.292096,0.395398
+132s,0,0,10,protocol,7.5,200,1099,5.495,200,195,0.975,0.926941,0.811448,0.544018,0.403685,0.304293,0.27765,0.27765,0.27765,0.27765,0.394126
+133s,0.512,1,10,protocol,7.5,200,1030,5.15,196,189,0.964286,0.949519,0.77931,0.53114,0.390328,0.289744,0.264327,0.264327,0.264327,0.264327,0.394002
+134s,0,0,10,protocol,7.5,200,950,4.75,168,167,0.994048,0.92402,0.686411,0.484625,0.34083,0.249367,0.232861,0.232861,0.232861,0.232861,0.39324
+135s,1.024,2,10,protocol,7.5,200,949,4.745,150,149,0.993333,0.95,0.71978,0.52965,0.337629,0.251923,0.227168,0.227168,0.227168,0.227168,0.39293
+136s,0,0,10,protocol,7.5,200,910,4.55,140,140,1,0.9625,0.705128,0.517473,0.331897,0.24903,0.22,0.22,0.22,0.22,0.392027
+137s,2.048,4,10,protocol,7.5,200,890,4.45,140,140,1,0.903061,0.652174,0.467532,0.300501,0.233161,0.202475,0.202475,0.202475,0.202475,0.39198
+138s,2.048,4,10,protocol,7.5,200,925,4.625,140,140,1,0.936464,0.690909,0.487179,0.31614,0.243902,0.21814,0.21814,0.21814,0.21814,0.390985
+139s,2.048,4,10,protocol,7.5,200,913,4.565,140,138,0.985714,0.964497,0.692708,0.516839,0.3325,0.253173,0.226962,0.226962,0.226962,0.226962,0.3909
+140s,2.048,4,10,protocol,7.5,200,983,4.915,150,149,0.993333,0.918919,0.652921,0.465686,0.311987,0.239295,0.207877,0.207877,0.207877,0.207877,0.38994
+141s,2.048,4,10,protocol,7.5,200,952,4.76,164,164,1,0.925824,0.645215,0.469952,0.313804,0.251933,0.216261,0.216261,0.216261,0.216261,0.389595
+142s,2.048,4,10,protocol,7.5,200,1009,5.045,180,180,1,0.918919,0.651274,0.466895,0.334697,0.273396,0.229003,0.229003,0.229003,0.229003,0.388286
+143s,2.048,4,10,protocol,7.5,200,1069,5.345,210,210,1,0.949468,0.773333,0.504348,0.374194,0.317808,0.263636,0.263636,0.263636,0.263636,0.387786
+144s,2.048,4,10,protocol,7.5,200,1189,5.945,240,239,0.995833,0.957921,0.785016,0.51828,0.364048,0.324361,0.278935,0.278935,0.278935,0.278935,0.386495
+145s,2.048,4,10,protocol,7.5,200,1060,5.3,254,247,0.972441,0.911364,0.68,0.490022,0.331583,0.299458,0.264038,0.264038,0.264038,0.264038,0.386018
+146s,2.048,4,10,protocol,7.5,200,1076,5.38,270,267,0.988889,0.927273,0.654545,0.485393,0.328267,0.297111,0.255319,0.255319,0.255319,0.255319,0.385321
+147s,2.048,4,10,protocol,7.5,210,1244,5.92381,322,321,0.996894,0.96875,0.68892,0.50207,0.358728,0.323333,0.272472,0.272472,0.272472,0.272472,0.384821
+148s,2.048,4,10,protocol,7.5,210,1277,6.08095,350,347,0.991429,0.972,0.719444,0.512871,0.380323,0.345333,0.289385,0.289385,0.289385,0.289385,0.383563
+149s,4.096,8,10,protocol,7.5,210,1213,5.77619,348,339,0.974138,0.954902,0.730556,0.505769,0.384503,0.348344,0.293527,0.293527,0.293527,0.293527,0.383366
+150s,4.096,8,10,protocol,7.5,210,1378,6.5619,330,329,0.99697,0.994208,0.813261,0.582364,0.447173,0.388243,0.333889,0.333889,0.333889,0.333889,0.382318
+151s,4.096,8,10,protocol,7.5,210,1344,6.4,320,320,1,0.96,0.797043,0.597782,0.448563,0.37202,0.326183,0.326183,0.326183,0.326183,0.38235
+152s,4.096,8,10,protocol,7.5,210,1334,6.35238,300,298,0.993333,0.955674,0.744216,0.584848,0.434685,0.355651,0.318132,0.318132,0.318132,0.318132,0.381376
+153s,4.096,8,10,protocol,7.5,210,1257,5.98571,298,298,1,0.968864,0.726923,0.603191,0.417526,0.345311,0.311196,0.311196,0.311196,0.311196,0.381108
+154s,3.584,7,10,protocol,7.5,210,1260,6,318,318,1,0.98513,0.770942,0.640217,0.420714,0.354819,0.325414,0.325414,0.325414,0.325414,0.380129
+155s,3.584,7,10,protocol,7.5,210,1200,5.71429,322,318,0.987578,0.961111,0.785135,0.614165,0.397945,0.350845,0.322778,0.322778,0.322778,0.322778,0.379943
+156s,4.096,8,10,protocol,7.5,210,1214,5.78095,318,318,1,0.980144,0.776,0.6,0.404729,0.350602,0.31324,0.31324,0.31324,0.31324,0.379199
+157s,4.096,8,10,protocol,7.5,220,1270,5.77273,268,266,0.992537,0.951827,0.754975,0.58932,0.400925,0.344886,0.309063,0.309063,0.309063,0.309063,0.378927
+158s,4.096,8,10,protocol,7.5,220,1435,6.52273,228,226,0.991228,0.962783,0.765207,0.591722,0.417663,0.354966,0.310924,0.310924,0.310924,0.310924,0.377893
+159s,4.096,8,10,protocol,7.5,220,1426,6.48182,220,220,1,0.932358,0.77439,0.560954,0.425603,0.360795,0.31097,0.31097,0.31097,0.31097,0.377586
+160s,4.096,8,10,protocol,7.5,230,1340,5.82609,232,231,0.99569,0.945455,0.76348,0.53157,0.395556,0.334946,0.282668,0.282668,0.282668,0.282668,0.376477
